sample_index,timestamp_brainflow,label,C3_uV,C4_uV,Cz_uV
124,1786485455.4519837,RE,8.6,7.1,1.5
125,1786485455.452012,RE,-1.0,15.9,4.2
126,1786485455.452041,RE,11.8,9.1,-7.7
127,1786485455.4520645,RE,21.1,4.6,-10.0
128,1786485455.452073,RE,16.2,20.8,5.8
129,1786485455.4520812,RE,-0.5,27.3,11.0
130,1786485455.4520893,RE,-4.4,14.7,-0.2
131,1786485455.4520972,RE,17.3,11.0,-3.4
132,1786485455.4521053,RE,39.2,29.1,22.2
133,1786485455.452117,RE,20.4,36.3,28.5
134,1786485455.452125,RE,15.0,27.0,17.1
135,1786485455.4521337,RE,38.5,20.1,15.1
136,1786485455.452144,RE,27.7,24.8,23.6
137,1786485455.4521563,RE,2.7,27.4,22.8
138,1786485455.4521663,RE,-2.0,18.2,10.7
139,1786485455.4521754,RE,14.7,5.9,-4.7
140,1786485455.4521856,RE,23.0,18.5,1.6
141,1786485455.4521964,RE,13.3,34.8,17.4
142,1786485455.452209,RE,-12.5,24.6,3.0
143,1786485455.4522192,RE,9.4,6.8,-13.2
144,1786485455.4522302,RE,40.9,15.4,2.7
145,1786485455.452241,RE,22.7,26.1,14.8
146,1786485455.4522507,RE,-6.5,15.0,2.2
147,1786485455.4522607,RE,-0.4,-8.9,-21.3
148,1786485455.452271,RE,22.4,-0.9,-14.5
149,1786485455.4522817,RE,2.0,11.2,-1.6
150,1786485455.452292,RE,-8.9,13.8,-6.7
151,1786485455.452301,RE,-8.2,-6.0,-26.9
152,1786485455.4523103,RE,17.9,-7.5,-22.1
153,1786485455.452319,RE,-0.9,12.1,1.3
154,1786485455.4523287,RE,9.7,19.7,9.9
155,1786485455.4523375,RE,3.3,10.4,-2.0
156,1786485455.4523463,RE,12.1,-3.2,-12.6
157,1786485455.452355,RE,22.6,14.7,11.8
158,1786485455.4523623,RE,4.7,22.3,21.8
159,1786485455.4523704,RE,11.5,16.0,10.8
160,1786485455.452378,RE,25.2,6.4,-4.2
161,1786485455.452386,RE,17.0,12.5,2.3
162,1786485455.452394,RE,8.4,23.9,10.6
163,1786485455.452402,RE,8.1,21.4,7.0
164,1786485455.4524112,RE,20.0,-3.6,-15.3
165,1786485455.45242,RE,32.4,7.8,1.3
166,1786485455.452428,RE,15.9,26.4,15.9
167,1786485455.4524355,RE,-0.8,19.5,10.4
168,1786485455.4524431,RE,10.2,7.6,0.3
169,1786485455.4524512,RE,20.4,6.6,6.3
170,1786485455.452459,RE,6.9,15.9,17.0
171,1786485455.4524677,RE,-12.7,4.3,9.1
172,1786485455.452476,RE,5.0,-8.6,-3.6
173,1786485455.4524848,RE,12.3,-10.8,-8.9
174,1786485455.452493,RE,6.1,-1.4,4.0
175,1786485455.4525006,RE,-11.9,-1.0,5.5
176,1786485455.4525087,RE,-9.4,-17.8,-12.5
177,1786485455.4525163,RE,15.6,-15.4,-8.8
178,1786485455.4525242,RE,13.5,0.2,13.2
179,1786485455.452532,RE,2.7,11.7,26.9
180,1786485455.4525397,RE,0.5,0.6,15.2
181,1786485455.4525473,RE,12.1,-8.1,3.3
182,1786485455.4525552,RE,5.8,-9.4,2.9
183,1786485455.4525633,RE,-18.2,-9.4,-1.9
184,1786485455.4525712,RE,-8.3,-16.6,-5.1
185,1786485455.4525788,RE,11.2,-20.9,-5.3
186,1786485455.452587,RE,22.2,-1.5,13.0
187,1786485455.4525952,RE,5.2,13.7,29.3
188,1786485455.452603,RE,-7.5,1.0,18.5
189,1786485455.452611,RE,9.4,-14.1,5.6
190,1786485455.4526188,RE,27.4,-0.2,22.4
191,1786485455.4526265,RE,12.9,13.6,38.2
192,1786485455.452634,RE,-7.6,-2.0,17.8
193,1786485455.4526422,RE,3.9,-21.9,-5.1
194,1786485455.45265,RE,26.4,-10.1,8.3
195,1786485455.452658,RE,20.8,7.1,32.7
196,1786485455.4526656,RE,-8.6,-1.5,20.1
197,1786485455.4526742,RE,-5.9,-19.5,-6.6
198,1786485455.452682,RE,18.1,-14.7,-2.6
199,1786485455.45269,RE,8.2,-1.4,18.9
200,1786485455.452698,RE,-15.7,-7.1,15.0
201,1786485455.4527056,RE,-4.1,-16.6,-6.9
202,1786485455.4527135,RE,21.6,-7.5,3.1
203,1786485455.4527216,RE,28.5,9.9,34.2
204,1786485455.4527304,RE,13.6,19.4,41.7
205,1786485455.452741,RE,9.3,6.6,17.2
206,1786485455.4527495,RE,34.2,1.5,13.7
207,1786485455.4527588,RE,38.2,24.7,38.1
208,1786485455.452767,RE,7.0,23.8,39.3
209,1786485455.4527752,RE,-5.7,5.4,18.5
210,1786485455.4527829,RE,12.9,-8.1,2.3
211,1786485455.452791,RE,12.3,-1.6,14.7
212,1786485455.4527996,RE,-4.6,4.8,20.1
213,1786485455.4528072,RE,-6.5,-1.7,10.9
214,1786485455.4528153,RE,11.2,-11.6,6.3
215,1786485455.4528227,RE,10.7,-8.6,14.8
216,1786485455.4528315,RE,6.5,12.0,31.6
217,1786485455.4528396,RE,-4.0,11.6,23.7
218,1786485455.4528477,RE,4.4,-2.9,7.0
219,1786485455.452855,RE,1.7,-9.0,2.6
220,1786485455.4528637,RE,4.8,4.9,22.8
221,1786485455.452872,RE,2.3,15.2,29.7
222,1786485455.45288,RE,-0.3,-0.5,3.2
223,1786485455.452888,RE,21.7,-2.3,7.5
224,1786485455.4528956,RE,23.0,18.1,30.9
225,1786485455.4529028,RE,0.8,22.6,29.6
226,1786485455.4529104,RE,11.2,9.5,11.4
227,1786485455.452918,RE,25.7,3.6,0.0
228,1786485455.452926,RE,17.2,10.5,14.3
229,1786485455.4529335,RE,-4.5,6.8,17.9
230,1786485455.452941,RE,-6.7,-5.3,-1.4
231,1786485455.4529488,RE,6.2,-13.7,-14.4
232,1786485455.452957,RE,27.8,1.9,7.2
233,1786485455.4529648,RE,4.5,13.4,18.4
234,1786485455.4529734,RE,3.9,1.5,1.3
235,1786485455.4529817,RE,20.5,-13.3,-11.3
236,1786485455.45299,RE,38.1,0.7,7.0
237,1786485455.4529972,RE,21.6,20.5,21.3
238,1786485455.4530048,RE,-0.8,1.4,-6.0
239,1786485455.4530125,RE,14.1,-16.3,-27.2
240,1786485455.9317205,RE,32.9,-9.8,-18.0
241,1786485455.9317603,RE,8.0,2.4,-0.0
242,1786485455.9317958,RE,-2.7,2.5,-7.5
243,1786485455.931826,RE,11.3,-8.5,-19.7
244,1786485455.9318442,RE,24.1,-13.0,-25.7
245,1786485455.931872,RE,22.5,5.0,-5.9
246,1786485455.9319017,RE,-1.5,-2.5,-14.8
247,1786485455.9319432,RE,19.8,-11.5,-26.0
248,1786485455.9319708,RE,14.4,-20.9,-30.8
249,1786485455.931996,RE,11.6,-11.4,-16.6
250,1786485455.932016,RE,-0.7,-4.8,-12.4
251,1786485455.9320269,RE,0.7,-11.3,-24.8
252,1786485455.9320378,RE,33.9,-13.8,-25.0
253,1786485455.9320488,RE,29.4,2.4,-10.4
254,1786485455.9320605,RE,-11.1,-0.1,-16.5
255,1786485455.9320717,RE,-12.4,-27.1,-44.5
256,1786485455.932083,RE,25.4,-23.6,-38.3
257,1786485455.9320931,RE,23.9,-5.6,-16.3
258,1786485455.932104,RE,-6.3,-3.4,-15.1
259,1786485455.9321148,RE,-2.0,-14.5,-32.8
260,1786485455.932125,RE,15.6,-23.4,-38.2
261,1786485455.932136,RE,8.8,-16.6,-31.9
262,1786485455.9321468,RE,-16.2,-10.1,-27.3
263,1786485455.9321575,RE,-19.1,-13.1,-35.4
264,1786485455.9321682,RE,17.5,-19.2,-40.3
265,1786485455.9321787,RE,23.5,-12.6,-23.3
266,1786485455.9321897,RE,5.2,-2.2,-7.9
267,1786485455.9322002,RE,6.7,4.9,-0.2
268,1786485455.9322107,RE,9.7,-10.8,-17.7
269,1786485455.9322217,RE,26.9,-10.7,-20.2
270,1786485455.932232,RE,14.4,0.4,-5.3
271,1786485455.9322429,RE,-0.2,-0.8,-8.6
272,1786485455.9322531,RE,4.8,-11.3,-20.7
273,1786485455.9322636,RE,20.9,-13.3,-20.9
274,1786485455.932274,RE,18.3,4.6,0.5
275,1786485455.9322848,RE,-3.8,6.1,1.4
276,1786485455.932295,RE,14.1,2.5,-9.2
277,1786485455.9323068,RE,27.9,-2.1,-9.0
278,1786485455.9323175,RE,4.3,9.7,6.9
279,1786485455.9323285,RE,1.4,10.2,7.3
280,1786485455.932339,RE,6.9,1.7,-4.6
281,1786485455.9323497,RE,18.9,-10.9,-18.1
282,1786485455.9323604,RE,21.7,0.0,-4.8
283,1786485455.9323711,RE,6.2,9.1,5.3
284,1786485455.932382,RE,7.0,4.7,-4.0
285,1786485455.9323924,RE,10.7,-7.4,-19.5
286,1786485455.932403,RE,17.1,-1.5,-8.3
287,1786485455.9324138,RE,-3.8,0.4,-2.1
288,1786485455.9324243,RE,-4.2,5.2,-6.8
289,1786485455.9324348,RE,1.1,-9.7,-26.3
290,1786485455.9324455,RE,16.3,-10.8,-20.8
291,1786485455.932456,RE,8.0,11.0,8.8
292,1786485455.9324667,RE,-9.3,4.3,0.5
293,1786485455.9324777,RE,9.1,-5.3,-11.1
294,1786485455.9324875,RE,18.8,-4.1,-7.7
295,1786485455.9324985,RE,13.1,11.4,11.4
296,1786485455.9325092,RE,8.3,20.9,22.8
297,1786485455.9325197,RE,6.7,2.9,2.3
298,1786485455.93253,RE,18.2,-8.3,-5.7
299,1786485455.932541,RE,16.9,8.1,8.3
300,1786485455.9325514,RE,-0.1,16.3,10.0
301,1786485455.9325616,RE,-10.1,-5.0,-12.0
302,1786485455.932572,RE,18.7,-11.6,-10.4
303,1786485455.9325826,RE,16.1,2.0,10.6
304,1786485455.932593,RE,-7.0,11.4,14.1
305,1786485455.932604,RE,-4.2,-0.2,-0.9
306,1786485455.9326143,RE,6.7,-11.2,-14.3
307,1786485455.932625,RE,24.0,5.4,7.6
308,1786485455.9326358,RE,19.2,21.8,22.2
309,1786485455.9326465,RE,12.3,11.0,9.0
310,1786485455.9326568,RE,30.1,2.3,0.1
311,1786485455.9326673,RE,21.4,2.7,1.4
312,1786485455.932678,RE,-1.3,-1.2,-0.4
313,1786485455.9326885,RE,-8.2,-4.6,-7.1
314,1786485455.932699,RE,7.8,-15.4,-19.8
315,1786485455.9327097,RE,18.5,-14.7,-14.5
316,1786485455.93272,RE,10.3,11.4,7.2
317,1786485455.932731,RE,0.6,11.5,1.8
318,1786485455.9327412,RE,1.6,-20.2,-29.6
319,1786485455.932752,RE,18.1,-18.7,-24.1
320,1786485455.9327624,RE,8.1,-1.2,-4.8
321,1786485455.9327729,RE,-11.4,-2.0,-5.1
322,1786485455.9327831,RE,1.9,-15.1,-14.5
323,1786485455.932794,RE,19.0,-19.9,-13.4
324,1786485455.9328043,RE,11.8,-7.5,1.3
325,1786485455.9328148,RE,-13.4,-7.2,-3.5
326,1786485455.932825,RE,-13.3,-21.1,-22.2
327,1786485455.9328358,RE,1.0,-28.7,-37.0
328,1786485455.9328463,RE,10.6,-11.2,-11.8
329,1786485455.9328568,RE,-19.3,-5.1,-3.5
330,1786485455.9328673,RE,-12.3,-17.2,-14.4
331,1786485455.9328785,RE,-9.0,-34.7,-31.7
332,1786485455.9328885,RE,-9.8,-23.9,-15.8
333,1786485455.9328992,RE,-29.1,-10.4,2.6
334,1786485455.9329095,RE,-18.5,-17.7,-4.8
335,1786485455.93292,RE,6.8,-29.2,-21.2
336,1786485455.9329305,RE,6.7,-23.1,-7.3
337,1786485455.9329407,RE,-27.5,-21.9,-7.0
338,1786485455.9329512,RE,-36.8,-31.3,-24.9
339,1786485455.9329617,RE,-7.8,-31.7,-30.7
340,1786485455.9329724,RE,-5.2,-24.0,-17.3
341,1786485455.9329827,RE,-37.2,-19.9,-13.9
